user_id,user_segment_id,user_segment,register_date,first_booking_date,register_date_only,register_time_only,first_booking_date_only,first_booking_time_only,response_timedelta,response_days,response_hours
401561,139,MAY25 Register (Insider Campaign),2025-05-28 13:29:52,2025-05-30 01:27:57,2025-05-28,13:29:52,2025-05-30,01:27:57,0 days 09:24:57,0,9.0
399257,139,MAY25 Register (Insider Campaign),2025-05-21 22:27:14,2025-06-03 10:01:28,2025-05-21,22:27:14,2025-06-03,10:01:28,4 days 17:58:28,4,113.0
398018,139,MAY25 Register (Insider Campaign),2025-05-17 12:59:37,2025-05-30 00:38:38,2025-05-17,12:59:37,2025-05-30,00:38:38,0 days 08:35:38,0,8.0
393353,139,MAY25 Register (Insider Campaign),2025-05-01 14:29:22,2025-05-31 13:27:38,2025-05-01,14:29:22,2025-05-31,13:27:38,1 days 21:24:38,1,45.0
401323,139,MAY25 Register (Insider Campaign),2025-05-27 19:06:02,2025-05-30 13:58:06,2025-05-27,19:06:02,2025-05-30,13:58:06,0 days 21:55:06,0,21.0
400179,139,MAY25 Register (Insider Campaign),2025-05-24 19:33:12,2025-05-30 17:28:55,2025-05-24,19:33:12,2025-05-30,17:28:55,1 days 01:25:55,1,25.0
400355,139,MAY25 Register (Insider Campaign),2025-05-25 11:01:50,2025-05-31 11:26:47,2025-05-25,11:01:50,2025-05-31,11:26:47,1 days 19:23:47,1,43.0
401506,139,MAY25 Register (Insider Campaign),2025-05-28 11:10:08,2025-05-30 14:41:51,2025-05-28,11:10:08,2025-05-30,14:41:51,0 days 22:38:51,0,22.0
397984,139,MAY25 Register (Insider Campaign),2025-05-17 11:20:44,2025-05-29 23:52:09,2025-05-17,11:20:44,2025-05-29,23:52:09,0 days 07:49:09,0,7.0
399591,139,MAY25 Register (Insider Campaign),2025-05-23 03:40:15,2025-05-30 13:02:27,2025-05-23,03:40:15,2025-05-30,13:02:27,0 days 20:59:27,0,20.0
401503,139,MAY25 Register (Insider Campaign),2025-05-28 11:06:57,2025-06-02 14:01:55,2025-05-28,11:06:57,2025-06-02,14:01:55,3 days 21:58:55,3,93.0
400930,139,MAY25 Register (Insider Campaign),2025-05-26 17:22:24,2025-06-03 15:49:59,2025-05-26,17:22:24,2025-06-03,15:49:59,4 days 23:46:59,4,119.0
401158,139,MAY25 Register (Insider Campaign),2025-05-27 11:45:38,2025-06-01 12:04:12,2025-05-27,11:45:38,2025-06-01,12:04:12,2 days 20:01:12,2,68.0
401544,139,MAY25 Register (Insider Campaign),2025-05-28 12:50:44,2025-05-30 09:33:19,2025-05-28,12:50:44,2025-05-30,09:33:19,0 days 17:30:19,0,17.0
395952,139,MAY25 Register (Insider Campaign),2025-05-10 09:30:39,2025-05-30 07:41:52,2025-05-10,09:30:39,2025-05-30,07:41:52,0 days 15:38:52,0,15.0
395988,139,MAY25 Register (Insider Campaign),2025-05-10 11:20:46,2025-05-29 19:22:54,2025-05-10,11:20:46,2025-05-29,19:22:54,0 days 03:19:54,0,3.0
396522,139,MAY25 Register (Insider Campaign),2025-05-12 10:19:16,2025-06-03 12:12:55,2025-05-12,10:19:16,2025-06-03,12:12:55,4 days 20:09:55,4,116.0
401542,139,MAY25 Register (Insider Campaign),2025-05-28 12:44:09,2025-06-01 06:58:49,2025-05-28,12:44:09,2025-06-01,06:58:49,2 days 14:55:49,2,62.0
397961,139,MAY25 Register (Insider Campaign),2025-05-17 10:03:39,2025-05-29 16:07:52,2025-05-17,10:03:39,2025-05-29,16:07:52,0 days 00:04:52,0,0.0
395970,139,MAY25 Register (Insider Campaign),2025-05-10 10:10:04,2025-05-29 22:11:42,2025-05-10,10:10:04,2025-05-29,22:11:42,0 days 06:08:42,0,6.0
400398,139,MAY25 Register (Insider Campaign),2025-05-25 12:58:34,2025-05-30 12:52:37,2025-05-25,12:58:34,2025-05-30,12:52:37,0 days 20:49:37,0,20.0
396746,139,MAY25 Register (Insider Campaign),2025-05-12 23:19:04,2025-06-02 14:18:51,2025-05-12,23:19:04,2025-06-02,14:18:51,3 days 22:15:51,3,94.0
397612,139,MAY25 Register (Insider Campaign),2025-05-15 22:36:19,2025-06-01 08:59:11,2025-05-15,22:36:19,2025-06-01,08:59:11,2 days 16:56:11,2,64.0
